lon,lat,t,anom
134.875,-54.875,2018-01-27,1.0700000524520874
135.125,-54.875,2018-01-27,1.090000033378601
135.375,-54.875,2018-01-27,1.0700000524520874
135.625,-54.875,2018-01-27,1.100000023841858
164.625,-54.875,2018-01-27,1.059999942779541
167.125,-54.875,2018-01-27,1.0199999809265137
167.375,-54.875,2018-01-27,1.0199999809265137
174.125,-54.875,2018-01-27,1.0499999523162842
174.375,-54.875,2018-01-27,1.149999976158142
174.625,-54.875,2018-01-27,1.1200000047683716
174.875,-54.875,2018-01-27,1.0199999809265137
178.875,-54.875,2018-01-27,1.2999999523162842
179.125,-54.875,2018-01-27,1.590000033378601
179.375,-54.875,2018-01-27,1.4299999475479126
179.625,-54.875,2018-01-27,1.0299999713897705
305.375,-54.875,2018-01-27,1.1699999570846558
305.625,-54.875,2018-01-27,1.399999976158142
305.875,-54.875,2018-01-27,1.5199999809265137
306.125,-54.875,2018-01-27,1.3700000047683716
316.375,-54.875,2018-01-27,1.1699999570846558
316.625,-54.875,2018-01-27,1.440000057220459
316.875,-54.875,2018-01-27,1.559999942779541
317.125,-54.875,2018-01-27,1.3799999952316284
319.125,-54.875,2018-01-27,1.1699999570846558
319.375,-54.875,2018-01-27,1.2699999809265137
319.625,-54.875,2018-01-27,1.340000033378601
319.875,-54.875,2018-01-27,1.3700000047683716
320.125,-54.875,2018-01-27,1.2300000190734863
161.375,-54.625,2018-01-27,1.0499999523162842
161.625,-54.625,2018-01-27,1.1699999570846558
161.875,-54.625,2018-01-27,1.1299999952316284
162.125,-54.625,2018-01-27,1.0399999618530273
164.625,-54.625,2018-01-27,1.2100000381469727
164.875,-54.625,2018-01-27,1.2100000381469727
166.875,-54.625,2018-01-27,1.0099999904632568
167.125,-54.625,2018-01-27,1.1100000143051147
167.375,-54.625,2018-01-27,1.1399999856948853
167.625,-54.625,2018-01-27,1.0399999618530273
174.375,-54.625,2018-01-27,1.059999942779541
178.875,-54.625,2018-01-27,1.149999976158142
179.125,-54.625,2018-01-27,1.2899999618530273
179.375,-54.625,2018-01-27,1.0700000524520874
183.625,-54.625,2018-01-27,1.0399999618530273
183.875,-54.625,2018-01-27,1.0299999713897705
286.875,-54.625,2018-01-27,1.100000023841858
287.125,-54.625,2018-01-27,1.409999966621399
287.375,-54.625,2018-01-27,1.4199999570846558
287.625,-54.625,2018-01-27,1.0099999904632568
304.875,-54.625,2018-01-27,1.0099999904632568
305.125,-54.625,2018-01-27,1.149999976158142
305.375,-54.625,2018-01-27,1.25
305.625,-54.625,2018-01-27,1.3600000143051147
305.875,-54.625,2018-01-27,1.350000023841858
306.125,-54.625,2018-01-27,1.1200000047683716
316.375,-54.625,2018-01-27,1.100000023841858
316.625,-54.625,2018-01-27,1.4199999570846558
316.875,-54.625,2018-01-27,1.6200000047683716
317.125,-54.625,2018-01-27,1.5399999618530273
317.375,-54.625,2018-01-27,1.2100000381469727
319.125,-54.625,2018-01-27,1.2000000476837158
319.375,-54.625,2018-01-27,1.2999999523162842
319.625,-54.625,2018-01-27,1.2999999523162842
319.875,-54.625,2018-01-27,1.3200000524520874
320.125,-54.625,2018-01-27,1.1799999475479126
161.375,-54.375,2018-01-27,1.100000023841858
161.625,-54.375,2018-01-27,1.2599999904632568
161.875,-54.375,2018-01-27,1.25
162.125,-54.375,2018-01-27,1.159999966621399
162.375,-54.375,2018-01-27,1.0399999618530273
164.375,-54.375,2018-01-27,1.0800000429153442
164.625,-54.375,2018-01-27,1.3300000429153442
164.875,-54.375,2018-01-27,1.3899999856948853
165.125,-54.375,2018-01-27,1.2100000381469727
167.125,-54.375,2018-01-27,1.100000023841858
167.375,-54.375,2018-01-27,1.149999976158142
167.625,-54.375,2018-01-27,1.090000033378601
174.375,-54.375,2018-01-27,1.0099999904632568
178.875,-54.375,2018-01-27,1.1200000047683716
179.125,-54.375,2018-01-27,1.1399999856948853
181.875,-54.375,2018-01-27,1.0299999713897705
