lon,lat,year,max_intensity
150.625,-52.375,2014,102.0685
150.625,-52.125,2003,96.3259
150.625,-51.875,2003,100.1057
150.625,-51.625,2017,122.6771
150.625,-51.375,2017,121.9464
150.625,-51.125,2012,152.5283
150.625,-50.875,2012,146.338
150.625,-50.625,2012,116.3338
150.625,-50.375,2017,90.0831
150.625,-50.125,2017,84.8658
150.625,-49.875,2017,100.3669
150.625,-49.625,2017,92.6533
150.625,-49.375,2014,77.7277
150.625,-49.125,1985,111.5254
150.625,-48.875,1985,132.6132
150.625,-48.625,2017,108.1268
150.625,-48.375,2017,84.7069
150.625,-48.125,1990,115.663
150.625,-47.875,1989,120.7973
150.625,-47.625,1989,110.0973
150.625,-47.375,2013,115.9276
150.625,-47.125,2015,165.8004
150.625,-46.875,2015,195.9899
150.625,-46.625,2015,294.481
150.625,-46.375,2016,468.5388
150.625,-46.125,2016,516.6873
150.625,-45.875,2016,526.4375
150.625,-45.625,2016,458.5679
150.625,-45.375,2016,361.1177
150.625,-45.125,2016,352.6319
150.625,-44.875,2016,367.3139
150.625,-44.625,2016,366.578
150.625,-44.375,2016,361.7584
150.625,-44.125,2016,378.2072
150.625,-43.875,2019,352.3322
150.625,-43.625,2019,314.8509
150.625,-43.375,2019,300.137
150.625,-43.125,2016,272.7389
150.625,-42.875,2018,269.5087
150.625,-42.625,2019,244.2101
150.625,-42.375,2019,234.0079
150.625,-42.125,2015,256.4639
150.625,-41.875,2015,240.9866
150.625,-41.625,2015,193.0553
150.625,-41.375,2016,237.5657
150.625,-41.125,2015,328.4551
150.625,-40.875,2015,330.6185
150.625,-40.625,2016,273.8102
150.625,-40.375,2016,253.7255
150.625,-40.125,2016,233.6762
150.625,-39.875,2011,142.9041
150.625,-39.625,2011,156.6182
150.625,-39.375,2011,162.67
150.625,-39.125,2011,213.2529
150.625,-38.875,2011,213.5522
150.625,-38.625,2016,172.2236
150.625,-38.375,2016,171.2012
150.625,-38.125,2016,209.46190000000001
150.625,-37.875,2014,152.4413
150.625,-37.625,2014,206.3999
150.625,-37.375,2014,222.6173
150.625,-37.125,2014,225.9313
150.625,-36.875,2014,221.2812
150.625,-36.625,2014,213.8468
150.625,-36.375,2014,201.3417
150.625,-36.125,2015,173.92
150.625,-35.875,2015,176.8921
150.625,-35.625,2015,172.2277
150.625,-35.375,2015,169.5454
150.875,-54.875,2016,153.9703
150.875,-54.625,2016,148.7041
150.875,-54.375,2016,98.3386
150.875,-54.125,2018,146.1145
150.875,-53.875,2020,196.5356
150.875,-53.625,2020,210.6758
150.875,-53.375,2020,229.45
150.875,-53.125,1985,98.0338
150.875,-52.875,1985,109.1957
150.875,-52.625,2002,109.434
150.875,-52.375,2014,106.1323
150.875,-52.125,2014,98.1417
150.875,-51.875,2003,97.2994
150.875,-51.625,1986,118.8698
150.875,-51.375,2012,108.3959
150.875,-51.125,2012,114.5074
150.875,-50.875,2018,97.2314
150.875,-50.625,2018,87.6108
150.875,-50.375,2017,133.7864
150.875,-50.125,2017,125.9607
150.875,-49.875,2017,111.5997
150.875,-49.625,2017,105.154
150.875,-49.375,2017,96.1671
150.875,-49.125,1985,116.5417
150.875,-48.875,1985,161.6127
150.875,-48.625,2016,88.2049
150.875,-48.375,2016,86.2391
150.875,-48.125,1990,116.4183
150.875,-47.875,1989,127.019
150.875,-47.625,1989,113.0253
150.875,-47.375,2015,143.8399
150.875,-47.125,2013,176.8565
150.875,-46.875,2015,208.5273
150.875,-46.625,2015,235.1567
150.875,-46.375,2016,455.8856
150.875,-46.125,2016,506.7207
150.875,-45.875,2016,492.548
150.875,-45.625,2016,294.8271
150.875,-45.375,2016,285.6448
150.875,-45.125,2016,280.6852
150.875,-44.875,2016,280.9599
150.875,-44.625,2016,297.9725
150.875,-44.375,2019,319.6481
150.875,-44.125,2019,379.2319
150.875,-43.875,2019,352.0644
150.875,-43.625,2019,341.8396
150.875,-43.375,2019,317.9588
150.875,-43.125,2019,277.3937
150.875,-42.875,2019,257.5618
150.875,-42.625,2016,243.6907
150.875,-42.375,2016,241.9629
150.875,-42.125,2015,249.2352
150.875,-41.875,2015,228.6659
150.875,-41.625,2015,222.0703
150.875,-41.375,2014,250.4941
150.875,-41.125,2015,326.6652
150.875,-40.875,2014,258.1102
150.875,-40.625,2016,254.0207
150.875,-40.375,2016,234.406
150.875,-40.125,2014,159.2063
150.875,-39.875,2016,134.0521
150.875,-39.625,2016,142.0368
150.875,-39.375,2016,175.4787
150.875,-39.125,2016,186.263
150.875,-38.875,2016,185.114
150.875,-38.625,2016,231.1233
150.875,-38.375,2016,214.1963
150.875,-38.125,2016,198.3636
150.875,-37.875,2014,202.4377
150.875,-37.625,2014,227.469
150.875,-37.375,2014,228.4037
150.875,-37.125,2014,221.3457
150.875,-36.875,2014,210.4344
150.875,-36.625,2014,205.4058
150.875,-36.375,2014,182.9851
150.875,-36.125,2014,170.9126
150.875,-35.875,2014,161.8977
150.875,-35.625,2014,207.6833
150.875,-35.375,2014,207.2108
150.875,-35.125,1998,184.6991
150.875,-34.875,1998,185.5415
150.875,-34.625,2015,176.2341
151.125,-54.875,2016,141.256
151.125,-54.625,2016,133.7813
151.125,-54.375,2016,79.7901
151.125,-54.125,2020,124.7831
151.125,-53.875,2020,163.4938
151.125,-53.625,2020,172.9937
151.125,-53.375,2020,150.8886
151.125,-53.125,2002,104.7184
151.125,-52.875,1985,112.1198
151.125,-52.625,2002,113.0251
151.125,-52.375,2002,105.0721
151.125,-52.125,2002,91.834
151.125,-51.875,1986,85.0357
151.125,-51.625,1986,82.1546
151.125,-51.375,2012,96.5593
151.125,-51.125,2012,117.7067
151.125,-50.875,2013,82.6056
151.125,-50.625,2018,77.464
151.125,-50.375,2017,75.6818
151.125,-50.125,2017,132.3857
151.125,-49.875,2017,123.0443
151.125,-49.625,2017,110.9051
151.125,-49.375,2014,79.7905
151.125,-49.125,2017,125.8879
151.125,-48.875,2016,106.3716
151.125,-48.625,2016,91.264
151.125,-48.375,2013,102.9518
151.125,-48.125,2013,117.166
151.125,-47.875,1989,129.0342
151.125,-47.625,1989,163.1289
151.125,-47.375,1989,156.0044
151.125,-47.125,2013,182.4639
151.125,-46.875,2015,213.9647
151.125,-46.625,2013,203.7178
151.125,-46.375,2016,435.9721
151.125,-46.125,2016,478.1521
151.125,-45.875,2016,466.9718
151.125,-45.625,2016,278.9111
151.125,-45.375,2016,267.0939
151.125,-45.125,2016,267.4744
151.125,-44.875,2016,263.9709
151.125,-44.625,2016,223.6515
151.125,-44.375,2019,262.655
151.125,-44.125,2019,342.4515
151.125,-43.875,2019,342.2877
151.125,-43.625,2019,344.1125
151.125,-43.375,2019,331.9594
151.125,-43.125,2019,307.9235
151.125,-42.875,2019,242.8777
151.125,-42.625,2016,417.9504
151.125,-42.375,2016,261.069
151.125,-42.125,2016,271.3289
151.125,-41.875,2015,221.3624
151.125,-41.625,2015,214.7651
151.125,-41.375,2014,277.8159
151.125,-41.125,2015,319.3202
151.125,-40.875,2014,265.8482
151.125,-40.625,2014,315.373
151.125,-40.375,2014,248.2765
151.125,-40.125,2014,160.1128
151.125,-39.875,2017,260.4898
151.125,-39.625,2017,267.7951
151.125,-39.375,2017,232.5114
151.125,-39.125,2016,218.1785
151.125,-38.875,2016,249.2992
151.125,-38.625,2016,228.8915
151.125,-38.375,2016,214.1354
151.125,-38.125,2000,184.2869
151.125,-37.875,2014,208.0989
151.125,-37.625,2014,220.5398
151.125,-37.375,2014,204.6135
151.125,-37.125,2014,194.7455
151.125,-36.875,2016,200.2465
151.125,-36.625,2014,190.0543
151.125,-36.375,2014,187.1138
151.125,-36.125,2014,184.9761
151.125,-35.875,1998,163.9179
151.125,-35.625,2014,235.9955
151.125,-35.375,2014,256.6857
151.125,-35.125,2014,195.1166
151.125,-34.875,1998,188.0088
151.125,-34.625,1998,183.5204
151.125,-34.375,2015,164.4805
151.125,-34.125,2001,163.2321
151.375,-54.875,2016,89.0481
151.375,-54.625,2016,112.9954
151.375,-54.375,2009,67.199
151.375,-54.125,2020,111.2637
151.375,-53.875,2020,145.0522
151.375,-53.625,2020,154.7476
151.375,-53.375,2002,111.2388
151.375,-53.125,2002,106.6913
151.375,-52.875,2002,115.6765
151.375,-52.625,2002,110.7643
151.375,-52.375,2002,112.2232
151.375,-52.125,2002,88.7591
151.375,-51.875,1986,82.6719
151.375,-51.625,2012,80.14
151.375,-51.375,2012,89.9866
151.375,-51.125,2012,89.1633
151.375,-50.875,2018,122.5244
151.375,-50.625,1989,78.1518
151.375,-50.375,2017,94.4598
151.375,-50.125,2017,162.3716
151.375,-49.875,2017,124.6061
